label_frac,rule,site,pretrained_mean,pretrained_sd,scratch_mean,scratch_sd,gap_mean,gap_sd,n_seeds_pre,n_seeds_scratch,leader,t,p_raw,p_holm,survives_holm_0.05
0.25,f1_at_half,gap[AlignSSL-pretrained],,,,,0.157,0.0829,3,,,,,,
0.25,f1_at_half,gap[AlignSSL-scratch],,,,,0.1581,0.1053,3,,,,,,
0.25,f1_at_tau,gap[AlignSSL-pretrained],,,,,0.1498,0.112,3,,,,,,
0.25,f1_at_tau,gap[AlignSSL-scratch],,,,,0.1227,0.0579,3,,,,,,
0.25,auprc,gap[AlignSSL-pretrained],,,,,0.0831,0.0343,3,,,,,,
0.25,auprc,gap[AlignSSL-scratch],,,,,0.0539,0.0185,3,,,,,,
0.5,f1_at_half,gap[AlignSSL-pretrained],,,,,0.1786,0.0241,3,,,,,,
0.5,f1_at_half,gap[AlignSSL-scratch],,,,,0.175,0.1035,3,,,,,,
0.5,f1_at_tau,gap[AlignSSL-pretrained],,,,,0.2085,0.1043,3,,,,,,
0.5,f1_at_tau,gap[AlignSSL-scratch],,,,,0.2577,0.1734,3,,,,,,
0.5,auprc,gap[AlignSSL-pretrained],,,,,0.0668,0.022,3,,,,,,
0.5,auprc,gap[AlignSSL-scratch],,,,,0.0574,0.0394,3,,,,,,
1.0,f1_at_half,gap[AlignSSL-pretrained],,,,,0.2135,0.1251,3,,,,,,
1.0,f1_at_half,gap[AlignSSL-scratch],,,,,0.087,0.2485,3,,,,,,
1.0,f1_at_tau,gap[AlignSSL-pretrained],,,,,0.224,0.2025,3,,,,,,
1.0,f1_at_tau,gap[AlignSSL-scratch],,,,,0.0322,0.2173,3,,,,,,
1.0,auprc,gap[AlignSSL-pretrained],,,,,0.1042,0.0797,3,,,,,,
1.0,auprc,gap[AlignSSL-scratch],,,,,0.001,0.105,3,,,,,,
